animal.MouseID,assay.assay,Weight,Pregnancy,Treatment,experiment.time
7839,Lean Mass,14.72,Pregnant,Dexamethasone,-14
7839,Free Water,0.22,Pregnant,Dexamethasone,-14
7839,Body Weight,18.8,Pregnant,Dexamethasone,-7
7839,Total Fat Mass,2.49,Pregnant,Dexamethasone,-7
7839,Lean Mass,14.75,Pregnant,Dexamethasone,-7
7839,Free Water,0.13,Pregnant,Dexamethasone,-7
7839,Body Weight,19.4,Pregnant,Dexamethasone,0
7839,Total Fat Mass,2.24,Pregnant,Dexamethasone,0
7839,Lean Mass,15.26,Pregnant,Dexamethasone,0
7839,Free Water,0.06,Pregnant,Dexamethasone,0
7839,Body Weight,17.4,Pregnant,Dexamethasone,7
7839,Total Fat Mass,1.84,Pregnant,Dexamethasone,7
7839,Lean Mass,13.85,Pregnant,Dexamethasone,7
7839,Free Water,0.06,Pregnant,Dexamethasone,7
7839,Body Weight,18.3,Pregnant,Dexamethasone,14
7839,Total Fat Mass,2.11,Pregnant,Dexamethasone,14
7839,Lean Mass,14.54,Pregnant,Dexamethasone,14
7839,Free Water,0,Pregnant,Dexamethasone,14
7839,Body Weight,24.2,Pregnant,Dexamethasone,21
7839,Total Fat Mass,2.35,Pregnant,Dexamethasone,21
7839,Lean Mass,18.3,Pregnant,Dexamethasone,21
7839,Free Water,0.83,Pregnant,Dexamethasone,21
7839,Body Weight,18.2,Pregnant,Dexamethasone,28
7839,Total Fat Mass,1.18,Pregnant,Dexamethasone,28
7839,Lean Mass,15.44,Pregnant,Dexamethasone,28
7839,Free Water,0.27,Pregnant,Dexamethasone,28
7839,Body Weight,21.8,Pregnant,Dexamethasone,35
7839,Total Fat Mass,4.28,Pregnant,Dexamethasone,35
7839,Lean Mass,15.62,Pregnant,Dexamethasone,35
7839,Free Water,0.06,Pregnant,Dexamethasone,35
7833,Body Weight,18.2,Not Pregnant,Water,-14
7833,Total Fat Mass,2.88,Not Pregnant,Water,-14
7833,Lean Mass,13.39,Not Pregnant,Water,-14
7833,Free Water,0,Not Pregnant,Water,-14
7833,Body Weight,18.6,Not Pregnant,Water,-7
7833,Total Fat Mass,3.23,Not Pregnant,Water,-7
7833,Lean Mass,13.88,Not Pregnant,Water,-7
7833,Free Water,0.019,Not Pregnant,Water,-7
7833,Body Weight,19.1,Not Pregnant,Water,0
7833,Total Fat Mass,3.57,Not Pregnant,Water,0
7833,Lean Mass,14.02,Not Pregnant,Water,0
7833,Free Water,0.009,Not Pregnant,Water,0
7833,Body Weight,19.9,Not Pregnant,Water,7
7833,Total Fat Mass,3.76,Not Pregnant,Water,7
7833,Lean Mass,14.77,Not Pregnant,Water,7
7833,Free Water,0.33,Not Pregnant,Water,7
7833,Body Weight,19.9,Not Pregnant,Water,14
7833,Total Fat Mass,2.68,Not Pregnant,Water,14
7833,Lean Mass,15.81,Not Pregnant,Water,14
7833,Free Water,0.32,Not Pregnant,Water,14
7833,Body Weight,20.1,Not Pregnant,Water,21
7833,Total Fat Mass,2.03,Not Pregnant,Water,21
7833,Lean Mass,16.68,Not Pregnant,Water,21
7833,Free Water,0.26,Not Pregnant,Water,21
7833,Body Weight,20.9,Not Pregnant,Water,28
7833,Total Fat Mass,2,Not Pregnant,Water,28
7833,Lean Mass,17.22,Not Pregnant,Water,28
7833,Free Water,0.08,Not Pregnant,Water,28
7833,Body Weight,21.5,Not Pregnant,Water,35
7833,Total Fat Mass,2.22,Not Pregnant,Water,35
7833,Lean Mass,18.23,Not Pregnant,Water,35
7833,Free Water,0.26,Not Pregnant,Water,35
7833,Body Weight,30.8,Not Pregnant,Water,77
7833,Total Fat Mass,2.31,Not Pregnant,Water,77
7833,Lean Mass,23.94,Not Pregnant,Water,77
